fichier,ligne,chaine,cle_suggeree
autoload/sim.gd,20,▶ lent,T_SIM_LENT
autoload/sim.gd,20,▶▶ normal,T_SIM_NORMAL
autoload/sim.gd,20,▶▶▶ rapide,T_SIM_RAPIDE
ui/age_recap.gd,108,Plus tard,T_AGE_RECAP_PLUS_TARD
ui/age_recap.gd,111,Engager l'âge suivant,T_AGE_RECAP_ENGAGER_L_AGE_SUIVANT
ui/age_recap.gd,146,l'aube du règne,T_AGE_RECAP_L_AUBE_DU_REGNE
ui/age_recap.gd,148,L'âge de %s s'achève,T_AGE_RECAP_L_AGE_DE_S
ui/age_recap.gd,150,L'aube du règne s'achève,T_AGE_RECAP_L_AUBE_DU_REGNE
ui/age_recap.gd,157,"Ainsi passa %s pour %s, dit %s. L'âge de %s se lève.",T_AGE_RECAP_AINSI_PASSA_S_POUR
ui/age_recap.gd,159,Bilan : %s âmes · %s or · %d province(s) · savoir %d,T_AGE_RECAP_BILAN_S_AMES_S
ui/age_recap.gd,166,Cet âge n'a rien laissé aux Annales. Les chroniqueurs ont dormi.,T_AGE_RECAP_CET_AGE_N_A
ui/alerts.gd,38,GUERRE — {a} entre en guerre contre nous (an {y}),T_ALERTS_GUERRE_A_ENTRE_EN
ui/alerts.gd,39,PAIX signée avec {a} (an {y}),T_ALERTS_PAIX_SIGNEE_AVEC_A
ui/alerts.gd,40,Une place est TOMBÉE — {a} occupe la région {r} (an {y}),T_ALERTS_UNE_PLACE_EST_TOMBEE
ui/alerts.gd,41,Région {r} REPRISE par nos armes (an {y}),T_ALERTS_REGION_R_REPRISE_PAR
ui/alerts.gd,42,PILLAGE — la région {r} a été mise à sac (an {y}),T_ALERTS_PILLAGE_LA_REGION_R
ui/alerts.gd,43,RÉVOLTE — un soulèvement éclate en région {r} (an {y}),T_ALERTS_REVOLTE_UN_SOULEVEMENT_ECLATE
ui/alerts.gd,43,Rebelles de X,T_ALERTS_REBELLES_DE_X
ui/alerts.gd,44,SÉCESSION — {a} proclame son indépendance (an {y}),T_ALERTS_SECESSION_A_PROCLAME_SON
ui/alerts.gd,45,BATAILLE GAGNÉE contre {b} en région {r} (an {y}),T_ALERTS_BATAILLE_GAGNEE_CONTRE_B
ui/alerts.gd,46,"BATAILLE PERDUE contre {b} — l'ost est brisé (région {r}, an {y})",T_ALERTS_BATAILLE_PERDUE_CONTRE_B
ui/alerts.gd,47,{label} — région {r} (an {y}),T_ALERTS_LABEL_REGION_R_AN
ui/alerts.gd,115,guerre GAGNÉE,T_ALERTS_GUERRE_GAGNEE
ui/alerts.gd,115,guerre PERDUE,T_ALERTS_GUERRE_PERDUE
ui/alerts.gd,115,paix blanche,T_ALERTS_PAIX_BLANCHE
ui/alerts.gd,116, — %s (score %+d),T_ALERTS_S_SCORE_D
ui/alerts.gd,126,  (clic : acquitter),T_ALERTS_CLIC_ACQUITTER
ui/alerts.gd,137,LA GUERRE !,T_ALERTS_LA_GUERRE
ui/alerts.gd,138,Voir la diplomatie,T_ALERTS_VOIR_LA_DIPLOMATIE
ui/alerts.gd,139,Lever l'ost,T_ALERTS_LEVER_L_OST
ui/alerts.gd,141,LA PAIX EST SIGNÉE,T_ALERTS_LA_PAIX_EST_SIGNEE
ui/alerts.gd,145,RÉVOLTE !,T_ALERTS_REVOLTE
ui/alerts.gd,146,Y aller,T_ALERTS_Y_ALLER
ui/alerts.gd,147,Réprimer,T_ALERTS_REPRIMER
ui/alerts.gd,149,SÉCESSION !,T_ALERTS_SECESSION
ui/alerts.gd,152,Évènement,T_ALERTS_EVENEMENT
ui/alerts.gd,154,Y aller,T_ALERTS_Y_ALLER
ui/alerts.gd,175,%d siège(s) du conseil VACANT(S) — recruter un candidat (clic : onglet Conseil),T_ALERTS_D_SIEGE_S_DU
ui/alerts.gd,181,Un âge s'est levé : %s — clic pour l'ENGAGER (une fois par âge),T_ALERTS_UN_AGE_S_EST
ui/alerts.gd,186,Aucune RECHERCHE en cours — clic : choisir une cible dans l'arbre,T_ALERTS_AUCUNE_RECHERCHE_EN_COURS
ui/alerts.gd,193,"Un ÉDIFICE est constructible (ex. %s, %d or) — clic : panneau Construction",T_ALERTS_UN_EDIFICE_EST_CONSTRUCTIBLE
ui/alerts.gd,205,EN GUERRE et levée à ZÉRO — clic : monter la levée (onglet Armée),T_ALERTS_EN_GUERRE_ET_LEVEE
ui/alerts.gd,208,EN GUERRE sans armée de campagne — clic : onglet Armée (puis « Attaquer ici » sur la cible),T_ALERTS_EN_GUERRE_SANS_ARMEE
ui/alerts.gd,212,Votre peuple a bâti son premier sanctuaire — clic : FONDER la foi,T_ALERTS_VOTRE_PEUPLE_A_BATI
ui/alerts.gd,219,"La région %d GRONDE (agitation %d) — réprimer, assimiler ou apaiser (clic : y aller)",T_ALERTS_LA_REGION_D_GRONDE
